name,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,postalCode
Golf_3_1.6,480,,1993,manuell,0,golf,150000,benzin,volkswagen,,70435
A5_Sportback_2.7_Tdi,18300,coupe,2011,manuell,190,,125000,diesel,audi,ja,66954
"Jeep_Grand_Cherokee_""Overland""",9800,suv,2004,automatik,163,grand,125000,diesel,jeep,,90480
GOLF_4_1_4__3TÜRER,1500,kleinwagen,2001,manuell,75,golf,150000,benzin,volkswagen,nein,91074
Skoda_Fabia_1.4_TDI_PD_Classic,3600,kleinwagen,2008,manuell,69,fabia,90000,diesel,skoda,nein,60437
BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,650,limousine,1995,manuell,102,3er,150000,benzin,bmw,ja,33775
Peugeot_206_CC_110_Platinum,2200,cabrio,2004,manuell,109,2_reihe,150000,benzin,peugeot,nein,67112
VW_Derby_Bj_80__Scheunenfund,0,limousine,1980,manuell,50,andere,40000,benzin,volkswagen,nein,19348
Ford_C___Max_Titanium_1_0_L_EcoBoost,14500,bus,2014,manuell,125,c_max,30000,benzin,ford,,94505
VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,999,kleinwagen,1998,manuell,101,golf,150000,,volkswagen,,27472
Mazda_3_1.6_Sport,2000,limousine,2004,manuell,105,3_reihe,150000,benzin,mazda,nein,96224
Volkswagen_Passat_Variant_2.0_TDI_Comfortline,2799,kombi,2005,manuell,140,passat,150000,diesel,volkswagen,ja,57290
"VW_Passat_Facelift_35i__""7Sitzer""",999,kombi,1995,manuell,115,passat,150000,benzin,volkswagen,,37269
VW_PASSAT_1.9_TDI_131_PS_LEDER,2500,kombi,2004,manuell,131,passat,150000,,volkswagen,nein,90762
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,17999,suv,2011,manuell,190,navara,70000,diesel,nissan,nein,4177
KA_Lufthansa_Edition_450€_VB,450,kleinwagen,1910,,0,ka,5000,benzin,ford,,24148
Polo_6n_1_4,300,,2016,,60,polo,150000,benzin,volkswagen,,38871
Renault_Twingo_1.2_16V_Aut.,1750,kleinwagen,2004,automatik,75,twingo,150000,benzin,renault,nein,65599
Ford_C_MAX_2.0_TDCi_DPF_Titanium,7550,bus,2007,manuell,136,c_max,150000,diesel,ford,nein,88361
Mercedes_Benz_A_160_Classic_Klima,1850,bus,2004,manuell,102,a_klasse,150000,benzin,mercedes_benz,nein,49565
Volkswagen_Scirocco_1.4_TSI_Sport,10400,coupe,2009,manuell,160,scirocco,100000,benzin,volkswagen,nein,75365
BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,3699,limousine,2002,automatik,231,5er,150000,benzin,bmw,nein,68309
Opel_Meriva_1.Hand_TÜV_3.2018,2900,,2018,manuell,90,meriva,150000,benzin,opel,nein,49716
Stadtflitzer,450,kleinwagen,1997,manuell,50,arosa,150000,benzin,seat,nein,9526
MERCEDES_200E__TÜV_04/2016,500,limousine,1990,manuell,118,andere,150000,benzin,mercedes_benz,ja,35390
BMW_530d_touring_Vollausstattung_NAVI,2500,kombi,2002,automatik,193,5er,150000,diesel,bmw,ja,73765
Citroen_C4_Grand_Picasso.,5555,,2017,manuell,125,c4,125000,,citroen,nein,31139
Honda_Civic_1.4_i_VTEC_Comfort,6900,limousine,2008,manuell,99,civic,60000,benzin,honda,nein,12621
Volkswagen_T3_andere,1990,bus,1981,manuell,50,transporter,5000,benzin,volkswagen,nein,87471
Fiat_Punto_1.2,690,kleinwagen,2003,manuell,60,punto,150000,benzin,fiat,nein,86199
Mercedes_Benz_E_250_D_Original_Zustand_!!,3300,limousine,1995,automatik,113,e_klasse,150000,diesel,mercedes_benz,nein,53879
Renault_clio_1.2_TÜV_07/2016,899,,2016,manuell,60,clio,150000,benzin,renault,,37075
Golf_3_....._1.4,245,limousine,1994,,0,golf,150000,benzin,volkswagen,nein,44145
BMW_325i_Aut.,18000,limousine,2007,automatik,218,3er,20000,benzin,bmw,nein,39179
Mercedes_Benz_E_200_CDI_Automatik_Classic,3500,limousine,2004,automatik,122,e_klasse,150000,diesel,mercedes_benz,nein,67071
VW_Golf_3,350,,2016,manuell,75,golf,150000,benzin,volkswagen,nein,19386
Opel_Kadett_E_CC,1600,andere,1991,manuell,75,kadett,70000,,opel,,2943
Renault_Kangoo_1.9_Diesel,1500,,2016,,0,kangoo,150000,diesel,renault,nein,46483
Abschleppwagen_Vw_LT_195.000_gruene_Plakette_TÜV_8/2017,11900,andere,2002,manuell,129,andere,150000,diesel,volkswagen,nein,10551
Mercedes_Camper_D407,1500,bus,1984,manuell,70,andere,150000,diesel,mercedes_benz,nein,22767
Suche_Opel_corsa_a_zu_verschenken,0,,1990,,0,corsa,150000,benzin,opel,,56412
E_500_Avantgarde_AMG_Ausstattung,7500,limousine,2002,automatik,306,e_klasse,150000,,mercedes_benz,,33649
BMW_E60_530XD,12500,limousine,2006,automatik,231,5er,150000,diesel,bmw,,46119
Mini_One_Pepper_Scheckheftgepflegt,6990,limousine,2007,manuell,95,one,100000,benzin,mini,nein,59174
Smart_For_two_Klima_regensensor_uSw,3900,kleinwagen,2008,automatik,61,fortwo,80000,benzin,smart,,21073
Renault_Clio_1.4,590,kleinwagen,1999,manuell,75,clio,125000,benzin,renault,nein,84180
BMW_120d_DPF,7999,limousine,2007,manuell,177,1er,150000,diesel,bmw,nein,53604
BMW_528i_touring,2100,kombi,1998,automatik,193,5er,150000,benzin,bmw,nein,86157
VW_Golf_6___Klima___Alu___Scheckheft_!!!,7750,,2017,manuell,80,golf,100000,benzin,volkswagen,,48499
Mercedes_Benz_B180_Automatik,13500,bus,2012,automatik,109,b_klasse,150000,diesel,mercedes_benz,nein,35576
BMW_120i_Cabrio_mit_M_Paket,14800,cabrio,2008,manuell,170,1er,125000,benzin,bmw,,48691
Fiat_punto_5_tuerer__6_gang,2000,,2017,manuell,90,punto,150000,diesel,fiat,ja,66115
Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,1400,,2016,manuell,55,andere,5000,,hyundai,,34454
Bmw_318_d_Sport_Edition_Facelift,7999,limousine,2008,automatik,143,3er,150000,diesel,bmw,,71083
Opel_signum_1.9_cdti,4700,kombi,2005,manuell,0,signum,150000,,opel,nein,88433
auto_opel_astra,550,kombi,1999,manuell,0,astra,150000,diesel,opel,ja,56759
BMW_435i_Sport_coupe,39600,coupe,2014,automatik,306,andere,30000,benzin,bmw,nein,10435
Smart_Cabrio_TÜV_bis_07/17,3000,cabrio,2006,automatik,61,fortwo,80000,benzin,smart,nein,12055
Seat_inca_1.9SDI___LKW_Zulassung___TÜV_NEU,2399,,2018,manuell,64,andere,125000,,seat,nein,33397
Volkswagen_Golf_1.6_Comfortline,1000,limousine,1998,manuell,101,golf,150000,benzin,volkswagen,nein,39624
TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,1,suv,1994,manuell,286,,150000,,sonstige_autos,,53721
Bmw_316i_compact.____200€,200,coupe,1995,manuell,102,3er,150000,benzin,bmw,,23560
Audi_A8_3.0_TDI_quattro,7499,limousine,2004,automatik,232,a8,150000,diesel,audi,ja,71711
Skoda_Fabia_1.2,5500,kleinwagen,2010,manuell,60,fabia,70000,benzin,skoda,nein,57076
Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,7000,limousine,2006,automatik,105,jetta,100000,diesel,volkswagen,nein,6242
BMW_325_i_Cabrio_wenig_Kilometer,14999,cabrio,2007,manuell,218,3er,50000,benzin,bmw,nein,1129
Opel_Astra_1.4_mit_vielen_Extras!!!!,10900,,2017,manuell,101,astra,50000,,opel,nein,63607
Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,9700,coupe,2008,manuell,160,scirocco,150000,benzin,volkswagen,nein,55218
Honda_HRV_reserviert!!!,2100,suv,2000,manuell,105,andere,150000,benzin,honda,nein,85244
Mercedes_Benz_190,1280,limousine,1992,automatik,109,andere,150000,benzin,mercedes_benz,,86163
Opel_astra_g_coupe_1.8_liter_benziner,1200,coupe,2001,,0,astra,150000,,opel,,47249
Volkswagen_Polo,800,kleinwagen,1993,manuell,0,polo,150000,benzin,volkswagen,nein,8258
BMW_520i_E39,2300,,1997,manuell,150,5er,150000,,bmw,nein,79341
Ford_Fiesta,750,kleinwagen,2002,manuell,50,fiesta,150000,benzin,ford,nein,70327
Mercedes_Benz_C_180_T_Kompressor_Avantgarde,7999,kombi,2008,manuell,156,c_klasse,150000,benzin,mercedes_benz,nein,83355
VW_Golf_V_Plus_TDI_1_8,6600,limousine,2006,manuell,105,golf,150000,diesel,volkswagen,nein,41812
Nissan_Micra_1.2_CVT,7999,kleinwagen,2013,manuell,80,micra,40000,benzin,nissan,nein,46145
MB_Vito_Transporter_108_CDI,1400,andere,2003,manuell,82,vito,150000,diesel,mercedes_benz,nein,4668
Golf_4_TDi_1_9.__3_tuerig,800,,2000,manuell,90,golf,150000,diesel,volkswagen,,32584
Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._TÜV/AU_NEU,5000,bus,2006,manuell,109,sprinter,150000,diesel,mercedes_benz,nein,26382
Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,20300,limousine,2010,automatik,204,e_klasse,80000,diesel,mercedes_benz,nein,51491
Opel_Astra_F_Cabrio,150,,2016,manuell,75,astra,150000,benzin,opel,ja,78315
muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,250,kombi,2000,manuell,155,156,150000,benzin,alfa_romeo,ja,8396
Bastler_Fahrzeug_mit_Rest_Tuev,350,kleinwagen,1997,manuell,54,,150000,,fiat,ja,45665
Ford_Escort_CLX,600,limousine,1994,manuell,75,escort,100000,benzin,ford,ja,37359
Mercedes_Benz_C_220_T_CDI_Avantgarde,3300,kombi,2005,manuell,150,c_klasse,150000,diesel,mercedes_benz,ja,29221
SUBARU_FORESTER,1600,kombi,1997,automatik,122,forester,150000,benzin,subaru,nein,87497
Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,8000,suv,2005,manuell,185,xc_reihe,150000,diesel,volvo,,96472
Mitsubishi_L_400,1800,bus,2001,manuell,87,andere,150000,diesel,mitsubishi,nein,24116
Fiesta_Titanium_1.25,6800,kleinwagen,2009,manuell,82,fiesta,60000,benzin,ford,nein,51065
Renault_Scenic,2990,bus,2004,manuell,113,scenic,150000,benzin,renault,nein,41836
MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1€,1,limousine,1995,manuell,113,e_klasse,150000,diesel,mercedes_benz,nein,40589
A4_Diesel_Leder_Top___NAVI,2400,limousine,2003,manuell,0,a4,150000,diesel,audi,,40210
Senator_A2__3_0E__180PS__CD_Ausstattung.,1222,limousine,1984,automatik,180,andere,150000,benzin,opel,,57290
FORD_KA___TÜV_ABGELAUFEN,250,,2000,,60,ka,150000,,ford,,51427
Audi_A1_1.2_TFSI_S_Line,14500,kleinwagen,2013,manuell,86,a1,60000,benzin,audi,nein,31582
unfall_Opel_insignia_voll_Ausstattung__TÜV_neu__ideal_fuer_Bastler,8390,,2009,,0,insignia,150000,,opel,,29221
Volkswagen_Passat_1.9_TDI,3850,limousine,2003,manuell,131,passat,150000,diesel,volkswagen,nein,30459
BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,23490,limousine,2013,automatik,143,3er,40000,diesel,bmw,nein,49356
VW_t5_kastenwagen,6450,bus,2008,manuell,84,transporter,150000,,volkswagen,nein,44623
Mercedes_A_Klasse____Top_Zustand___TÜV/AU___neu_!_Halbautomatik,1700,kleinwagen,1999,automatik,102,a_klasse,125000,benzin,mercedes_benz,nein,12305
OPEL_COMBO_2008__TÜV_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,4290,bus,2008,manuell,0,combo,150000,diesel,opel,nein,23568
Ford_Focus_Turnier_1.6_TDCi_DPF,1500,kombi,2006,manuell,109,focus,150000,diesel,ford,nein,74223
Audi_A4_B5_1_6_Liter,499,limousine,1995,manuell,101,a4,150000,benzin,audi,,85414
Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,22999,coupe,2012,automatik,303,andere,50000,benzin,hyundai,nein,88167
Audi_a4_2.5_TDI_Tausch_moeglich,6500,limousine,2004,manuell,163,a4,150000,diesel,audi,,97450
verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,900,kombi,1999,manuell,125,c_klasse,150000,diesel,mercedes_benz,nein,37130
BMW_316_automatikgetriebe_Klimaanlage,650,limousine,1997,automatik,102,3er,150000,benzin,bmw,,13357
Ford_Escort_Cabrio,300,cabrio,1992,manuell,105,escort,150000,,ford,ja,88515
Audi_TT_Coupe_1.8_T_quattro,3399,coupe,1999,manuell,224,tt,150000,benzin,audi,ja,61276
Volkswagen_Passat_Variant_1.6_Kombi_mit_TÜV_und_AHK,1300,kombi,1997,manuell,101,passat,150000,benzin,volkswagen,nein,4277
Honda_Civic_EG4,900,,1995,manuell,90,civic,150000,benzin,honda,,35789
530d_XDRIVE_235_PS,7300,limousine,2009,automatik,235,5er,100000,diesel,bmw,nein,83022
Opel_Astra_Twin_Top_2.0_Turbo,8599,cabrio,2006,manuell,200,astra,125000,benzin,opel,nein,79761
Opel_Corsa_TÜV_bis_Ende_2016,350,kleinwagen,1998,,0,corsa,150000,benzin,opel,,82110
Golf_IV_1.4_16V,0,,2017,manuell,0,golf,5000,benzin,volkswagen,,21698
Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,5900,kombi,2005,automatik,178,a6,150000,diesel,audi,nein,88131
Volkswagen_Golf_1.8_5V_Turbo,6300,limousine,2002,manuell,265,golf,150000,benzin,volkswagen,nein,56759
Volkswagen_Corrado_1.8_G60,3500,coupe,1991,manuell,160,andere,150000,benzin,volkswagen,nein,66111
Polo_6n_Karosse_zu_verschenken,0,kleinwagen,1999,,0,,5000,benzin,volkswagen,,37520
BMW_320d_DPF,5950,limousine,2006,manuell,163,3er,150000,diesel,bmw,ja,63526
Honda_Jazz_1.2_S,1699,kleinwagen,2003,manuell,77,jazz,150000,benzin,honda,nein,42105
