name,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,postalCode
A5_Sportback_2.7_Tdi,18300,coupe,1910,manuell,190,,125000,diesel,audi,ja,66954
"Jeep_Grand_Cherokee_""Overland""",9800,suv,1910,automatik,163,grand,125000,diesel,jeep,,90480
Volkswagen_T1_21_fenst,9950,bus,1910,manuell,0,transporter,80000,benzin,volkswagen,nein,38324
Skoda_Fabia_1.4_TDI_PD_Classic,3600,kleinwagen,1925,manuell,69,fabia,90000,diesel,skoda,nein,60437
BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,650,limousine,1945,manuell,102,3er,150000,benzin,bmw,ja,33775
Peugeot_206_CC_110_Platinum,2200,cabrio,1955,manuell,109,2_reihe,150000,benzin,peugeot,nein,67112
Karmann_Ghia_345,25345,coupe,1959,manuell,54,andere,125000,benzin,volkswagen,nein,71563
Ford_C___Max_Titanium_1_0_L_EcoBoost,14500,bus,1960,manuell,125,c_max,30000,benzin,ford,,94505
VW_Kaefer_1302L,1200,,1960,manuell,0,kaefer,150000,benzin,volkswagen,,90459
Mazda_3_1.6_Sport,2000,limousine,1961,manuell,105,3_reihe,150000,benzin,mazda,nein,96224
Drei_Neue_Originale_Kaefer_Hauptscheinwerfer,0,,1961,,0,kaefer,150000,,volkswagen,,90427
Volkswagen_Kaefer_1302,6350,kleinwagen,1963,manuell,68,kaefer,5000,benzin,volkswagen,nein,83342
Volkswagen_T2a_Deluxe_orig.sierragelb/pastellweiss,19900,bus,1964,manuell,70,transporter,60000,benzin,volkswagen,,47169
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,17999,suv,1965,manuell,190,navara,70000,diesel,nissan,nein,4177
KA_Lufthansa_Edition_450€_VB,450,kleinwagen,1965,,0,ka,5000,benzin,ford,,24148
1972_Volkswagen_Karman_Ghia_Coupe__voellig_Original__rostfrei_,18900,coupe,1965,,50,andere,150000,benzin,volkswagen,,66359
Renault_Twingo_1.2_16V_Aut.,1750,kleinwagen,1965,automatik,75,twingo,150000,benzin,renault,nein,65599
Ford_C_MAX_2.0_TDCi_DPF_Titanium,7550,bus,1965,manuell,136,c_max,150000,diesel,ford,nein,88361
Mercedes_Benz_A_160_Classic_Klima,1850,bus,1966,manuell,102,a_klasse,150000,benzin,mercedes_benz,nein,49565
Volkswagen_Kaefer___Speedster___Dannert_Umbau,4900,cabrio,1966,manuell,44,kaefer,90000,benzin,volkswagen,nein,16567
BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,3699,limousine,1966,automatik,231,5er,150000,benzin,bmw,nein,68309
Opel_Meriva_1.Hand_TÜV_3.2018,2900,,1966,manuell,90,meriva,150000,benzin,opel,nein,49716
Stadtflitzer,450,kleinwagen,1967,manuell,50,arosa,150000,benzin,seat,nein,9526
MERCEDES_200E__TÜV_04/2016,500,limousine,1968,manuell,118,andere,150000,benzin,mercedes_benz,ja,35390
BMW_530d_touring_Vollausstattung_NAVI,2500,kombi,1968,automatik,193,5er,150000,diesel,bmw,ja,73765
Citroen_C4_Grand_Picasso.,5555,,1968,manuell,125,c4,125000,,citroen,nein,31139
Honda_Civic_1.4_i_VTEC_Comfort,6900,limousine,1969,manuell,99,civic,60000,benzin,honda,nein,12621
VW_Kuebel__181___Thing,6500,andere,1969,,54,andere,50000,,volkswagen,nein,36433
Fiat_Punto_1.2,690,kleinwagen,1969,manuell,60,punto,150000,benzin,fiat,nein,86199
Mercedes_Benz_E_250_D_Original_Zustand_!!,3300,limousine,1970,automatik,113,e_klasse,150000,diesel,mercedes_benz,nein,53879
Renault_clio_1.2_TÜV_07/2016,899,,1970,manuell,60,clio,150000,benzin,renault,,37075
VW_t2b_westfalia_plus_Haenger_Markise__2._Hand_alles_original,48000,bus,1970,manuell,50,transporter,125000,benzin,volkswagen,nein,82205
BMW_325i_Aut.,18000,limousine,1970,automatik,218,3er,20000,benzin,bmw,nein,39179
Mercedes_Benz_E_200_CDI_Automatik_Classic,3500,limousine,1970,automatik,122,e_klasse,150000,diesel,mercedes_benz,nein,67071
Raritaet___100%_original_VW_181_Kuebelwagen_Feuerwehr,20000,suv,1970,manuell,44,andere,70000,benzin,volkswagen,nein,48629
Opel_Kadett_E_CC,1600,andere,1971,manuell,75,kadett,70000,,opel,,2943
Renault_Kangoo_1.9_Diesel,1500,,1971,,0,kangoo,150000,diesel,renault,nein,46483
Volkswagen_T2_Bus,10000,bus,1971,,0,transporter,5000,benzin,volkswagen,,73479
Mercedes_Camper_D407,1500,bus,1971,manuell,70,andere,150000,diesel,mercedes_benz,nein,22767
Suche_Opel_corsa_a_zu_verschenken,0,,1971,,0,corsa,150000,benzin,opel,,56412
E_500_Avantgarde_AMG_Ausstattung,7500,limousine,1971,automatik,306,e_klasse,150000,,mercedes_benz,,33649
BMW_E60_530XD,12500,limousine,1971,automatik,231,5er,150000,diesel,bmw,,46119
Mini_One_Pepper_Scheckheftgepflegt,6990,limousine,1972,manuell,95,one,100000,benzin,mini,nein,59174
Smart_For_two_Klima_regensensor_uSw,3900,kleinwagen,1972,automatik,61,fortwo,80000,benzin,smart,,21073
Renault_Clio_1.4,590,kleinwagen,1972,manuell,75,clio,125000,benzin,renault,nein,84180
BMW_120d_DPF,7999,limousine,1972,manuell,177,1er,150000,diesel,bmw,nein,53604
BMW_528i_touring,2100,kombi,1972,automatik,193,5er,150000,benzin,bmw,nein,86157
VW_T2_Champagne_Edition2__2_0_Liter_Motor,19950,bus,1973,manuell,70,transporter,150000,benzin,volkswagen,,40764
Mercedes_Benz_B180_Automatik,13500,bus,1973,automatik,109,b_klasse,150000,diesel,mercedes_benz,nein,35576
BMW_120i_Cabrio_mit_M_Paket,14800,cabrio,1973,manuell,170,1er,125000,benzin,bmw,,48691
Fiat_punto_5_tuerer__6_gang,2000,,1973,manuell,90,punto,150000,diesel,fiat,ja,66115
Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,1400,,1973,manuell,55,andere,5000,,hyundai,,34454
Bmw_318_d_Sport_Edition_Facelift,7999,limousine,1974,automatik,143,3er,150000,diesel,bmw,,71083
Opel_signum_1.9_cdti,4700,kombi,1974,manuell,0,signum,150000,,opel,nein,88433
auto_opel_astra,550,kombi,1974,manuell,0,astra,150000,diesel,opel,ja,56759
BMW_435i_Sport_coupe,39600,coupe,1974,automatik,306,andere,30000,benzin,bmw,nein,10435
